"minute_id","time_id","date_time","tweet_text","tweet_id","Bing_Net_Sentiment","Bing_Normalized_Sentiment","Afinn_Net_Sentiment","Afinn_Normalized_Sentiment","ret_1_Min","ret_2_Min","ret_5_Min","ret_10_Min","ret_20_Min","ret_30_Min","ret_60_Min","ret_120_Min","ret_240_Min","ret_360_Min"
201803050447,"201803050447","3/5/2018 11:47","we have large trade deficits with mexico and canada. nafta which is under renegotiation right now has been a bad deal for u.s.a. massive relocation of companies &amp; jobs. tariffs on steel and aluminum will only come off if new &amp; fair nafta agreement is signed. also canada must..",4421,-1,6,-5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803070424,"201803070424","3/7/2018 11:24","@markburnetttv @realromadowney from bush 1 to present our country has lost more than 55000 factories 6000000 manufacturing jobs and accumulated trade deficits of more than 12 trillion dollars. last year we had a trade deficit of almost 800 billion dollars",4435,-1,6,-4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803070440,"201803070440","3/7/2018 11:40","from bush 1 to present our country has lost more than 55000 factories 6000000 manufacturing jobs and accumulated trade deficits of more than 12 trillion dollars. last year we had a trade deficit of almost 800 billion dollars. bad policies &amp; leadership. must win again!  #maga",4436,3,10,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803070810,"201803070810","3/7/2018 15:10","china has been asked to develop a plan for the year of a one billion dollar reduction in their massive trade deficit with the united states. our relationship with china has been a very good one and we look forward to seeing what ideas they come back with. we must act soon!",4437,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803080538,"201803080538","3/8/2018 12:38","looking forward to 3:30 p.m. meeting today at the white house. we have to protect &amp; build our steel and aluminum industries while at the same time showing great flexibility and cooperation toward those that are real friends  and treat us fairly on both trade and the military.",4439,0,7,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803091548,"201803091548","3/9/2018 22:48","spoke to pm @turnbullmalcolm of australia. he is committed to having a very fair and reciprocal military and trade relationship. working very quickly on a security agreement so we don’t have to impose steel or aluminum tariffs on our ally the great nation of australia!",4448,1,8,8,23,-0.000237408,0.000551221,0.000750801,0.001069483,NA,NA,NA,NA,NA,NA
201803100822,"201803100822","3/10/2018 15:22","chinese president xi xinping and i spoke at length about the meeting with kim jong un of north korea. president xi told me he appreciates that the u.s. is working to solve the problem diplomatically rather than going with the ominous alternative. china continues to be helpful!",4451,1,8,8,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803100915,"201803100915","3/10/2018 16:15","chinese president xi jinping and i spoke at length about the meeting with kim jong un of north korea. president xi told me he appreciates that the u.s. is working to solve the problem diplomatically rather than going with the ominous alternative. china continues to be helpful!",4453,3,10,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803101023,"201803101023","3/10/2018 17:23","spoke to prime minister abe of japan who is very enthusiastic about talks with north korea. also discussing opening up japan to much better trade with the u.s. currently have a massive $100 billion trade deficit. not fair or sustainable. it will all work out!",4454,-1,6,-4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803101429,"201803101429","3/10/2018 21:29","the european union wonderful countries who treat the u.s. very badly on trade are complaining about the tariffs on steel &amp; aluminum. if they drop their horrific barriers &amp; tariffs on u.s. products going in we will likewise drop ours. big deficit. if not we tax cars etc. fair!",4458,1,8,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803120520,"201803120520","3/12/2018 12:20","secretary of commerce wilbur ross will be speaking with representatives of the european union about eliminating the large tariffs and barriers they use against the u.s.a. not fair to our farmers and manufacturers.",4466,-2,5,-3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201803140737,"201803140737","3/14/2018 14:37","we cannot keep a blind eye to the rampant unfair trade practices against our country!",4486,2,9,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
